Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,19,17,1,1,63,13,50,52
Liverpool,19,16,1,2,53,18,35,49
Chelsea,19,15,3,1,43,11,32,48
Arsenal,19,13,5,1,36,11,25,44
Everton,19,13,3,3,38,19,19,42
Stoke City,19,10,6,3,27,17,10,36
Tottenham Hotspur,19,11,3,5,30,23,7,36
Southampton,19,8,6,5,32,23,9,30
Manchester United,19,9,3,7,29,21,8,30
Newcastle United,19,8,3,8,23,28,-5,27
Crystal Palace,19,8,3,8,18,23,-5,27
Hull City,19,7,4,8,20,21,-1,25
West Ham United,19,7,3,9,25,26,-1,24
Norwich City,19,6,6,7,17,18,-1,24
Swansea City,19,6,5,8,33,26,7,23
West Bromwich Albion,19,4,9,6,24,27,-3,21
Aston Villa,19,6,3,10,22,29,-7,21
Cardiff City,19,5,5,9,20,35,-15,20
Sunderland,19,5,3,11,21,27,-6,18
Fulham,19,5,3,11,24,38,-14,18
