Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester United,19,13,3,3,37,14,23,42
Manchester City,19,10,4,5,38,17,21,34
Arsenal,19,9,3,7,35,32,3,30
Tottenham Hotspur,19,7,6,6,27,24,3,27
Newcastle United,19,8,3,8,27,34,-7,27
West Bromwich Albion,19,7,5,7,24,30,-6,26
Chelsea,19,6,7,6,24,22,2,25
Liverpool,19,8,1,10,23,24,-1,25
Everton,19,5,8,6,22,25,-3,23
Wigan Athletic,19,6,3,10,20,35,-15,21
Norwich City,19,5,5,9,24,36,-12,20
Bolton Wanderers,19,6,2,11,23,38,-15,20
Aston Villa,19,3,10,6,17,28,-11,19
Sunderland,19,4,5,10,19,29,-10,17
Fulham,19,4,5,10,12,25,-13,17
Swansea City,19,4,4,11,17,33,-16,16
Stoke City,19,4,4,11,11,33,-22,16
Wolverhampton Wanderers,19,2,7,10,21,39,-18,13
Blackburn Rovers,19,2,6,11,22,45,-23,12
Queens Park Rangers,19,3,2,14,19,41,-22,11
