Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,5,5,0,0,16,4,12,15
Leicester City,5,3,1,1,11,4,7,10
Chelsea,5,3,1,1,8,6,2,10
Swansea City,5,3,0,2,8,7,1,9
Stoke City,5,2,2,1,10,4,6,8
Arsenal,5,2,2,1,8,4,4,8
Sunderland,5,2,2,1,5,4,1,8
West Bromwich Albion,5,2,2,1,6,5,1,8
Burnley,5,2,1,2,2,2,0,7
Tottenham Hotspur,5,2,1,2,5,6,-1,7
Everton,5,2,0,3,7,7,0,6
Crystal Palace,5,2,0,3,5,6,-1,6
Aston Villa,5,2,0,3,7,12,-5,6
Manchester United,5,1,2,2,3,6,-3,5
Southampton,5,1,1,3,9,9,0,4
West Ham United,5,1,1,3,2,5,-3,4
Newcastle United,5,1,1,3,6,9,-3,4
Hull City,5,1,1,3,2,6,-4,4
Liverpool,5,1,1,3,5,12,-7,4
Queens Park Rangers,5,1,1,3,4,14,-10,4
