Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,5,4,1,0,13,2,11,13
Crystal Palace,5,4,1,0,12,3,9,13
Tottenham Hotspur,5,3,1,1,9,6,3,10
Manchester United,5,3,1,1,5,2,3,10
West Bromwich Albion,5,3,1,1,5,4,1,10
Chelsea,5,3,1,1,5,5,0,10
Arsenal,5,3,0,2,12,6,6,9
Liverpool,5,2,2,1,9,3,6,8
Southampton,5,2,2,1,4,3,1,8
Everton,5,2,2,1,6,5,1,8
West Ham United,5,2,1,2,7,9,-2,7
Stoke City,5,1,3,1,5,5,0,6
AFC Bournemouth,5,2,0,3,4,8,-4,6
Huddersfield Town,5,1,2,2,2,4,-2,5
Brighton & Hove Albion,5,1,2,2,3,8,-5,5
Watford,5,1,1,3,2,5,-3,4
Leicester City,5,1,1,3,7,13,-6,4
Newcastle United,5,1,0,4,4,5,-1,3
Burnley,5,0,2,3,3,10,-7,2
Swansea City,5,0,0,5,1,10,-9,0
