Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,19,16,2,1,61,14,47,50
Arsenal,19,15,2,2,54,20,34,47
Manchester United,19,15,2,2,38,9,29,47
Liverpool,19,12,7,0,45,10,35,43
Tottenham Hotspur,19,13,4,2,40,16,24,43
Chelsea,19,11,4,4,30,16,14,37
Everton,19,10,4,5,28,22,6,34
Brighton & Hove Albion,19,7,8,4,24,25,-1,29
Newcastle United,19,8,4,7,21,17,4,28
Leicester City,19,7,6,6,25,22,3,27
West Ham United,19,7,6,6,24,26,-2,27
Watford,19,7,6,6,27,31,-4,27
Crystal Palace,19,7,5,7,29,27,2,26
Burnley,19,7,5,7,16,17,-1,26
AFC Bournemouth,19,7,5,7,26,30,-4,26
Huddersfield Town,19,6,5,8,16,25,-9,23
Swansea City,19,6,3,10,17,24,-7,21
Stoke City,19,5,5,9,20,30,-10,20
Southampton,19,4,7,8,20,26,-6,19
West Bromwich Albion,19,3,9,7,21,29,-8,18
