Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,19,18,0,1,57,12,45,54
Liverpool,19,17,2,0,55,10,45,53
Arsenal,19,14,3,2,42,16,26,45
Chelsea,19,12,6,1,39,12,27,42
Tottenham Hotspur,19,12,2,5,34,16,18,38
Manchester United,19,10,6,3,33,25,8,36
Everton,19,10,4,5,30,21,9,34
Wolverhampton Wanderers,19,10,4,5,28,21,7,34
West Ham United,19,9,4,6,32,27,5,31
AFC Bournemouth,19,8,5,6,30,25,5,29
Leicester City,19,8,3,8,24,20,4,27
Watford,19,8,3,8,26,28,-2,27
Newcastle United,19,8,1,10,24,25,-1,25
Southampton,19,5,8,6,27,30,-3,23
Burnley,19,7,2,10,24,32,-8,23
Brighton & Hove Albion,19,6,5,8,19,28,-9,23
Fulham,19,6,3,10,22,36,-14,21
Crystal Palace,19,5,5,9,19,23,-4,20
Cardiff City,19,6,2,11,21,38,-17,20
Huddersfield Town,19,2,3,14,10,31,-21,9
