Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,19,18,1,0,55,12,43,55
Manchester United,19,15,2,2,52,19,33,47
Tottenham Hotspur,19,13,3,3,39,17,22,42
Arsenal,19,12,4,3,39,17,22,40
Chelsea,19,12,3,4,41,24,17,39
Newcastle United,19,11,5,3,29,17,12,38
Fulham,19,10,5,4,36,26,10,35
Everton,19,10,3,6,28,15,13,33
Swansea City,19,8,7,4,27,18,9,31
Stoke City,19,7,8,4,25,20,5,29
Sunderland,19,7,7,5,26,17,9,28
Liverpool,19,6,9,4,24,16,8,27
Norwich City,19,7,6,6,28,30,-2,27
Queens Park Rangers,19,7,5,7,24,25,-1,26
Wigan Athletic,19,5,7,7,22,27,-5,22
West Bromwich Albion,19,6,3,10,21,22,-1,21
Aston Villa,19,4,7,8,20,25,-5,19
Blackburn Rovers,19,6,1,12,26,33,-7,19
Bolton Wanderers,19,4,4,11,23,39,-16,16
Wolverhampton Wanderers,19,3,3,13,19,43,-24,12
