Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Southampton,5,4,1,0,15,7,8,13
Arsenal,5,3,2,0,9,2,7,11
Manchester United,5,3,1,1,9,5,4,10
Leicester City,5,2,3,0,11,5,6,9
Newcastle United,5,2,3,0,9,4,5,9
Sunderland,5,2,3,0,9,5,4,9
West Ham United,5,3,0,2,11,9,2,9
Swansea City,5,2,1,2,8,10,-2,7
Chelsea,5,1,3,1,10,8,2,6
Manchester City,5,1,3,1,10,8,2,6
Liverpool,5,1,3,1,7,7,0,6
Everton,5,2,0,3,6,11,-5,6
Tottenham Hotspur,5,1,2,2,9,10,-1,5
Watford,5,1,1,3,8,13,-5,4
Crystal Palace,5,1,1,3,4,9,-5,4
Stoke City,5,1,1,3,4,12,-8,4
West Bromwich Albion,5,0,3,2,3,8,-5,3
Norwich City,5,1,0,4,4,10,-6,3
AFC Bournemouth,5,0,1,4,5,12,-7,1
Aston Villa,5,0,1,4,4,12,-8,1
