Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Arsenal,19,8,7,4,39,28,11,31
Manchester City,19,8,4,7,26,21,5,28
Chelsea,19,7,5,7,30,20,10,26
Tottenham Hotspur,19,7,5,7,25,27,-2,26
Manchester United,19,5,10,4,29,25,4,25
Sunderland,19,5,6,8,20,29,-9,21
Everton,19,4,8,7,20,22,-2,20
Newcastle United,19,5,5,9,15,30,-15,20
Wigan Athletic,19,4,7,8,18,27,-9,19
Blackpool,19,5,4,10,25,41,-16,19
Fulham,19,3,9,7,19,20,-1,18
Liverpool,19,5,3,11,22,30,-8,18
West Bromwich Albion,19,4,5,10,26,41,-15,17
Aston Villa,19,4,5,10,22,40,-18,17
Blackburn Rovers,19,4,3,12,24,43,-19,15
Birmingham City,19,2,7,10,18,36,-18,13
West Ham United,19,2,7,10,19,39,-20,13
Stoke City,19,3,3,13,15,30,-15,12
Wolverhampton Wanderers,19,3,3,13,16,36,-20,12
Bolton Wanderers,19,2,5,12,18,32,-14,11
