Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Leicester City,19,11,6,2,33,18,15,39
Tottenham Hotspur,19,9,7,3,34,20,14,34
Arsenal,19,8,7,4,34,25,9,31
West Ham United,19,7,7,5,31,25,6,28
Manchester City,19,7,7,5,24,20,4,28
Liverpool,19,8,4,7,30,28,2,28
Southampton,19,7,6,6,20,19,1,27
Chelsea,19,7,5,7,27,23,4,26
Manchester United,19,7,4,8,22,26,-4,25
Everton,19,5,9,5,24,25,-1,24
Stoke City,19,6,5,8,19,31,-12,23
AFC Bournemouth,19,6,4,9,22,33,-11,22
Crystal Palace,19,5,6,8,20,28,-8,21
Watford,19,6,3,10,20,31,-11,21
West Bromwich Albion,19,4,8,7,14,22,-8,20
Swansea City,19,4,5,10,22,32,-10,17
Sunderland,19,3,6,10,25,42,-17,15
Norwich City,19,3,2,14,13,37,-24,11
Newcastle United,19,2,3,14,12,41,-29,9
Aston Villa,19,1,3,15,13,41,-28,6
