Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,5,5,0,0,21,1,20,15
Manchester United,5,3,2,0,10,3,7,11
Tottenham Hotspur,5,3,2,0,9,3,6,11
Liverpool,5,3,1,1,13,8,5,10
Southampton,5,2,3,0,9,5,4,9
Chelsea,5,3,0,2,9,10,-1,9
West Ham United,5,2,2,1,9,4,5,8
Burnley,5,2,2,1,6,4,2,8
Aston Villa,5,2,2,1,5,5,0,8
Wolverhampton Wanderers,5,2,1,2,6,4,2,7
AFC Bournemouth,5,2,1,2,8,6,2,7
Arsenal,5,2,1,2,7,7,0,7
Sheffield United,5,2,0,3,5,6,-1,6
Watford,5,2,0,3,7,12,-5,6
Everton,5,1,2,2,4,8,-4,5
Brighton & Hove Albion,5,1,2,2,4,10,-6,5
Leicester City,5,1,1,3,4,10,-6,4
Crystal Palace,5,0,1,4,3,10,-7,1
Newcastle United,5,0,1,4,3,13,-10,1
Norwich City,5,0,0,5,1,14,-13,0
