Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,5,4,1,0,19,5,14,13
Tottenham Hotspur,5,4,1,0,13,2,11,13
Liverpool,5,4,1,0,9,4,5,13
Brighton & Hove Albion,5,3,2,0,13,4,9,11
Leicester City,5,3,1,1,14,5,9,10
Crystal Palace,5,3,1,1,7,5,2,10
Arsenal,5,3,0,2,9,8,1,9
Newcastle United,5,3,0,2,7,7,0,9
Chelsea,5,2,2,1,8,5,3,8
Brentford,5,2,1,2,7,7,0,7
Everton,5,2,1,2,8,11,-3,7
Aston Villa,5,1,2,2,8,8,0,5
West Ham United,5,1,1,3,8,8,0,4
Burnley,5,1,1,3,5,8,-3,4
Manchester United,5,1,1,3,5,9,-4,4
Leeds United,5,1,1,3,4,11,-7,4
Wolverhampton Wanderers,5,0,2,3,5,14,-9,2
Watford,5,0,1,4,3,10,-7,1
Southampton,5,0,1,4,5,13,-8,1
Norwich City,5,0,1,4,1,15,-14,1
