Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,19,14,4,1,41,11,30,46
Liverpool,19,13,4,2,45,17,28,43
Chelsea,19,12,4,3,39,11,28,40
Tottenham Hotspur,19,9,4,6,31,21,10,31
Brighton & Hove Albion,19,7,8,4,23,21,2,29
Arsenal,19,9,1,9,26,31,-5,28
Wolverhampton Wanderers,19,8,3,8,18,18,0,27
West Ham United,19,7,3,9,27,25,2,24
Manchester United,19,6,5,8,25,35,-10,23
Aston Villa,19,7,1,11,23,25,-2,22
Brentford,19,6,4,9,26,35,-9,22
Leeds United,19,5,5,9,23,41,-18,20
Crystal Palace,19,4,7,8,23,29,-6,19
Newcastle United,19,5,4,10,18,35,-17,19
Leicester City,19,4,6,9,28,36,-8,18
Watford,19,4,3,12,17,31,-14,15
Southampton,19,3,6,10,20,43,-23,15
Burnley,19,2,8,9,16,28,-12,14
Everton,19,2,4,13,16,41,-25,10
Norwich City,19,2,4,13,11,41,-30,10
