Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Liverpool,5,5,0,0,13,3,10,15
Arsenal,5,5,0,0,11,2,9,15
Leeds United,5,4,0,1,12,4,8,12
West Ham United,5,3,1,1,9,4,5,10
Manchester City,5,3,0,2,14,8,6,9
Tottenham Hotspur,5,3,0,2,12,7,5,9
Chelsea,5,3,0,2,7,5,2,9
Newcastle United,5,3,0,2,10,8,2,9
Brighton & Hove Albion,5,2,1,2,7,7,0,7
Manchester United,5,2,1,2,9,9,0,7
Aston Villa,5,2,1,2,7,8,-1,7
Everton,5,2,1,2,2,6,-4,7
Southampton,5,2,0,3,6,9,-3,6
Crystal Palace,5,2,0,3,7,10,-3,6
Sheffield United,5,2,0,3,2,7,-5,6
Wolverhampton Wanderers,5,1,1,3,4,7,-3,4
Leicester City,5,1,1,3,8,12,-4,4
Burnley,5,1,0,4,3,10,-7,3
West Bromwich Albion,5,0,1,4,5,12,-7,1
Fulham,5,0,1,4,2,10,-8,1
