Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Chelsea,19,15,4,0,36,9,27,49
Manchester City,19,14,3,2,44,14,30,45
Manchester United,19,14,2,3,41,15,26,44
Arsenal,19,12,5,2,41,14,27,41
Southampton,19,11,4,4,37,13,24,37
Liverpool,19,10,5,4,30,20,10,35
Stoke City,19,10,3,6,32,22,10,33
Tottenham Hotspur,19,10,3,6,31,24,7,33
Swansea City,19,9,5,5,27,22,5,32
West Ham United,19,9,4,6,25,18,7,31
Everton,19,7,7,5,27,21,6,28
Leicester City,19,7,5,7,28,22,6,26
Newcastle United,19,7,5,7,26,27,-1,26
West Bromwich Albion,19,7,4,8,24,26,-2,25
Queens Park Rangers,19,6,5,8,23,24,-1,23
Crystal Palace,19,6,3,10,21,27,-6,21
Aston Villa,19,5,6,8,18,25,-7,21
Hull City,19,5,5,9,19,24,-5,20
Sunderland,19,4,8,7,16,27,-11,20
Burnley,19,4,7,8,14,21,-7,19
