Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Arsenal,5,4,1,0,8,2,6,13
Chelsea,5,4,1,0,9,4,5,13
Liverpool,5,3,2,0,12,3,9,11
Tottenham Hotspur,5,3,2,0,8,5,3,11
Manchester City,5,3,1,1,7,4,3,10
Norwich City,5,3,0,2,10,6,4,9
Manchester United,5,2,2,1,11,8,3,8
Stoke City,5,2,2,1,6,4,2,8
Aston Villa,5,2,1,2,11,9,2,7
West Ham United,5,2,1,2,7,6,1,7
Everton,5,2,1,2,4,3,1,7
Wigan Athletic,5,1,2,2,10,13,-3,5
Sunderland,5,1,2,2,4,9,-5,5
Newcastle United,5,1,2,2,3,9,-6,5
West Bromwich Albion,5,1,1,3,10,13,-3,4
Reading,5,1,1,3,7,10,-3,4
Swansea City,5,1,1,3,4,9,-5,4
Fulham,5,1,0,4,6,9,-3,3
Southampton,5,0,3,2,2,6,-4,3
Queens Park Rangers,5,0,1,4,1,6,-5,1
