Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Leicester City,19,12,6,1,35,18,17,42
Manchester United,19,12,5,2,27,9,18,41
Arsenal,19,12,4,3,31,11,20,40
Manchester City,19,12,2,5,47,21,26,38
Tottenham Hotspur,19,10,6,3,35,15,20,36
Southampton,19,11,3,5,39,22,17,36
West Ham United,19,9,7,3,34,26,8,34
Liverpool,19,8,8,3,33,22,11,32
Swansea City,19,8,6,5,20,20,0,30
Newcastle United,19,7,7,5,32,24,8,28
Stoke City,19,8,4,7,22,24,-2,28
Sunderland,19,6,6,7,23,20,3,24
Chelsea,19,5,9,5,32,30,2,24
Watford,19,6,6,7,20,19,1,24
Everton,19,6,5,8,35,30,5,23
Norwich City,19,6,5,8,26,30,-4,23
West Bromwich Albion,19,6,5,8,20,26,-6,23
Crystal Palace,19,6,3,10,19,23,-4,21
AFC Bournemouth,19,5,5,9,23,34,-11,20
Aston Villa,19,2,5,12,14,35,-21,11
