Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Tottenham Hotspur,19,17,2,0,47,9,38,53
Chelsea,19,17,0,2,55,17,38,51
Arsenal,19,14,3,2,39,16,23,45
Everton,19,13,4,2,42,16,26,43
Liverpool,19,12,5,2,45,18,27,41
Manchester City,19,11,7,1,37,17,20,40
Manchester United,19,8,10,1,26,12,14,34
Leicester City,19,10,4,5,31,25,6,34
Burnley,19,10,3,6,26,20,6,33
AFC Bournemouth,19,9,4,6,35,29,6,31
West Bromwich Albion,19,9,2,8,27,22,5,29
Watford,19,8,4,7,25,29,-4,28
Hull City,19,8,4,7,28,35,-7,28
Stoke City,19,7,6,6,24,24,0,27
Swansea City,19,8,3,8,27,34,-7,27
West Ham United,19,7,4,8,19,31,-12,25
Southampton,19,6,6,7,17,21,-4,24
Crystal Palace,19,6,2,11,24,25,-1,20
Middlesbrough,19,4,6,9,17,23,-6,18
Sunderland,19,3,5,11,16,34,-18,14
