Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,5,5,0,0,14,3,11,15
Wigan Athletic,5,4,0,1,11,5,6,12
Tottenham Hotspur,5,3,1,1,9,3,6,10
Manchester United,5,3,1,1,11,5,6,10
Everton,5,2,3,0,12,6,6,9
Fulham,5,3,0,2,5,8,-3,9
Swansea City,5,2,2,1,9,7,2,8
West Bromwich Albion,5,2,2,1,6,5,1,8
Chelsea,5,2,1,2,9,8,1,7
Liverpool,5,2,0,3,7,4,3,6
Arsenal,5,1,3,1,8,8,0,6
Bolton Wanderers,5,1,3,1,9,11,-2,6
Newcastle United,5,2,0,3,6,9,-3,6
Queens Park Rangers,5,2,0,3,5,10,-5,6
Norwich City,5,1,1,3,6,14,-8,4
Sunderland,5,0,3,2,3,5,-2,3
Wolverhampton Wanderers,5,0,3,2,6,9,-3,3
Aston Villa,5,0,3,2,2,5,-3,3
Stoke City,5,0,3,2,4,8,-4,3
Blackburn Rovers,5,1,0,4,3,8,-5,3
