Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Liverpool,19,10,5,4,48,32,16,35
Arsenal,19,11,2,6,32,30,2,35
Manchester City,19,10,4,5,39,24,15,34
Manchester United,19,10,4,5,35,22,13,34
Chelsea,19,10,4,5,28,16,12,34
Tottenham Hotspur,19,10,3,6,25,28,-3,33
Everton,19,8,6,5,23,20,3,30
Southampton,19,7,5,7,22,23,-1,26
Newcastle United,19,7,1,11,20,31,-11,22
Sunderland,19,5,5,9,20,33,-13,20
Swansea City,19,5,4,10,21,28,-7,19
Crystal Palace,19,5,3,11,15,25,-10,18
Aston Villa,19,4,5,10,17,32,-15,17
West Ham United,19,4,4,11,15,25,-10,16
West Bromwich Albion,19,3,6,10,19,32,-13,15
Stoke City,19,3,5,11,18,35,-17,14
Fulham,19,4,2,13,16,47,-31,14
Hull City,19,3,3,13,18,32,-14,12
Cardiff City,19,2,4,13,12,39,-27,10
Norwich City,19,2,3,14,11,44,-33,9
