Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,19,14,2,3,38,11,27,44
Liverpool,19,13,5,1,34,12,22,44
Tottenham Hotspur,19,11,0,8,33,23,10,33
Manchester United,19,9,3,7,32,29,3,30
Chelsea,19,9,3,7,24,27,-3,30
Crystal Palace,19,9,2,8,32,30,2,29
Leicester City,19,7,4,8,27,28,-1,25
Arsenal,19,7,4,8,31,35,-4,25
Watford,19,6,5,8,26,31,-5,23
Wolverhampton Wanderers,19,6,5,8,19,25,-6,23
West Ham United,19,6,3,10,20,28,-8,21
Everton,19,5,5,9,24,25,-1,20
Newcastle United,19,4,8,7,18,23,-5,20
Burnley,19,4,5,10,21,36,-15,17
Southampton,19,4,4,11,18,35,-17,16
AFC Bournemouth,19,5,1,13,26,45,-19,16
Cardiff City,19,4,2,13,13,31,-18,14
Brighton & Hove Albion,19,3,4,12,16,32,-16,13
Huddersfield Town,19,1,4,14,12,45,-33,7
Fulham,19,1,2,16,12,45,-33,5
