Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester United,19,12,5,2,41,24,17,41
Arsenal,19,10,5,4,25,14,11,35
Chelsea,19,10,4,5,34,23,11,34
Tottenham Hotspur,19,10,4,5,37,28,9,34
Manchester City,19,9,6,4,25,19,6,33
Liverpool,19,7,7,5,38,27,11,28
Everton,19,4,9,6,22,23,-1,21
Aston Villa,19,5,6,8,24,41,-17,21
Swansea City,19,5,5,9,19,25,-6,20
Fulham,19,4,7,8,22,30,-8,19
West Bromwich Albion,19,5,3,11,21,32,-11,18
Wigan Athletic,19,5,3,11,21,34,-13,18
Southampton,19,3,7,9,23,36,-13,16
Sunderland,19,4,4,11,21,35,-14,16
Stoke City,19,2,8,9,13,23,-10,14
Newcastle United,19,2,7,10,21,37,-16,13
West Ham United,19,3,4,12,11,31,-20,13
Norwich City,19,2,7,10,16,38,-22,13
Queens Park Rangers,19,2,5,12,17,32,-15,11
Reading,19,2,2,15,20,40,-20,8
