Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Chelsea,19,13,3,3,30,16,14,42
Manchester City,19,12,2,5,43,22,21,38
Manchester United,19,10,5,4,28,17,11,35
Liverpool,19,10,5,4,33,24,9,35
Tottenham Hotspur,19,9,6,4,39,17,22,33
Arsenal,19,9,3,7,38,28,10,30
Southampton,19,6,4,9,24,27,-3,22
Crystal Palace,19,6,3,10,26,38,-12,21
West Ham United,19,5,5,9,28,33,-5,20
Everton,19,4,6,9,20,28,-8,18
Stoke City,19,4,5,10,17,32,-15,17
West Bromwich Albion,19,3,7,9,16,29,-13,16
AFC Bournemouth,19,3,6,10,20,38,-18,15
Swansea City,19,4,2,13,18,36,-18,14
Watford,19,3,3,13,15,39,-24,12
Middlesbrough,19,1,7,11,10,30,-20,10
Leicester City,19,2,4,13,17,38,-21,10
Sunderland,19,3,1,15,13,35,-22,10
Burnley,19,1,4,14,13,35,-22,7
Hull City,19,1,3,15,9,45,-36,6
