Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Chelsea,19,11,5,3,37,23,14,38
Manchester City,19,10,4,5,39,24,15,34
Arsenal,19,10,4,5,30,22,8,34
Tottenham Hotspur,19,9,4,6,27,29,-2,31
Crystal Palace,19,7,6,6,26,24,2,27
Liverpool,19,8,3,8,22,28,-6,27
Manchester United,19,6,8,5,21,22,-1,26
Swansea City,19,7,3,9,19,27,-8,24
Southampton,19,7,2,10,17,20,-3,23
Stoke City,19,5,6,8,16,23,-7,21
Everton,19,5,4,10,21,29,-8,19
West Bromwich Albion,19,4,7,8,14,25,-11,19
Sunderland,19,3,9,7,15,26,-11,18
Aston Villa,19,5,2,12,13,32,-19,17
West Ham United,19,3,7,9,19,29,-10,16
Hull City,19,3,6,10,14,27,-13,15
Leicester City,19,4,3,12,18,33,-15,15
Burnley,19,3,5,11,14,32,-18,14
Newcastle United,19,3,4,12,14,36,-22,13
Queens Park Rangers,19,2,1,16,19,49,-30,7
