Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester United,19,16,0,3,45,19,26,48
Manchester City,19,14,3,2,41,15,26,45
Everton,19,12,6,1,33,17,16,42
Chelsea,19,12,5,2,41,16,25,41
Arsenal,19,11,5,3,47,23,24,38
Tottenham Hotspur,19,11,5,3,29,18,11,38
Liverpool,19,9,6,4,33,16,17,33
West Ham United,19,9,6,4,34,22,12,33
West Bromwich Albion,19,9,4,6,32,25,7,31
Norwich City,19,8,7,4,25,20,5,31
Stoke City,19,7,7,5,21,22,-1,28
Newcastle United,19,9,1,9,24,31,-7,28
Swansea City,19,6,8,5,28,26,2,26
Southampton,19,6,7,6,26,24,2,25
Fulham,19,7,3,9,28,30,-2,24
Sunderland,19,5,8,6,20,19,1,23
Aston Villa,19,5,5,9,23,28,-5,20
Reading,19,4,8,7,23,33,-10,20
Wigan Athletic,19,4,6,9,26,39,-13,18
Queens Park Rangers,19,2,8,9,13,28,-15,14
