Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts,xG,xGConceded,xPoints,xPosition
Arsenal,38,28,5,5,91,29,62,89,77.42029988765717,28.415799921378493,81.88956467713078,1
Manchester City,38,28,7,3,96,34,62,91,81.93710008263588,35.86319976300001,80.24060869062245,2
Liverpool,38,24,10,4,86,41,45,82,89.36549982428551,46.17440016567707,76.85811988803296,3
Newcastle United,38,18,6,14,85,62,23,60,77.0761004537344,61.973000049591064,64.28294536526157,4
Chelsea,38,18,9,11,77,63,14,63,75.26539999246597,58.95609998703003,63.13442446484266,5
Tottenham Hotspur,38,20,6,12,74,61,13,66,68.95050022006035,64.55490052700043,57.17985780964021,6
Aston Villa,38,20,8,10,76,61,15,68,64.71809981390834,60.73189952969551,55.573669361025416,7
Brighton & Hove Albion,38,12,12,14,55,62,-7,48,58.01629972457886,56.437599550932646,54.18015600739052,8
AFC Bournemouth,38,13,9,16,54,67,-13,48,56.68980002403259,58.839299738407135,52.70079900185914,9
Brentford,38,10,9,19,56,65,-9,39,59.83999985456467,56.70030012726784,52.37271153893237,10
Everton,38,13,9,16,40,51,-11,40,54.89700008928776,56.072899758815765,52.01149530954731,11
Nottingham Forest,38,9,9,20,49,67,-18,32,50.38799965381622,53.87770012021065,50.47067130107847,12
Crystal Palace,38,13,10,15,57,58,-1,49,49.145499885082245,52.783500134944916,49.75846227783309,13
Fulham,38,13,8,17,55,61,-6,47,51.55860025435686,64.25329959392548,46.507736361052785,14
Manchester United,38,18,6,14,57,58,-1,60,56.930899783968925,70.08210018277168,45.21585687099804,15
West Ham United,38,14,10,14,60,74,-14,52,52.918599888682365,72.15280002355576,43.03876492242179,16
Wolverhampton Wanderers,38,13,7,18,50,65,-15,46,47.58250021934509,68.91810062527657,40.76427470757301,17
Burnley,38,5,9,24,41,78,-37,24,40.88659989833832,71.91710042953491,33.939124985619074,18
Luton Town,38,6,8,24,52,85,-33,26,43.36190006136894,79.76730012893677,32.76769379095756,19
Sheffield United,38,3,7,28,35,104,-69,16,39.04750010930002,77.52489936351776,29.967069141807347,20
