Name,Played,Wins,Draws,Losses,GF,GA,GoalDiff,Pts
Manchester City,5,5,0,0,16,2,14,15
Arsenal,5,5,0,0,14,3,11,15
Chelsea,5,5,0,0,14,4,10,15
Crystal Palace,5,4,1,0,15,2,13,13
Newcastle United,5,3,1,1,16,8,8,10
Everton,5,3,1,1,6,3,3,10
Liverpool,5,2,2,1,11,9,2,8
Brentford,5,2,1,2,9,7,2,7
Manchester United,5,2,1,2,6,8,-2,7
AFC Bournemouth,5,2,0,3,6,7,-1,6
Tottenham Hotspur,5,2,0,3,7,9,-2,6
Nottingham Forest,5,2,0,3,7,9,-2,6
Fulham,5,1,2,2,6,10,-4,5
Aston Villa,5,1,2,2,8,12,-4,5
Burnley,5,1,1,3,8,10,-2,4
Brighton & Hove Albion,5,1,1,3,3,8,-5,4
West Ham United,5,1,1,3,8,16,-8,4
Wolverhampton Wanderers,5,1,0,4,4,12,-8,3
Luton Town,5,0,1,4,6,15,-9,1
Sheffield United,5,0,0,5,4,16,-12,0
